candidate_name,court_name,incumbent_status,risk_type,risk_level,risk_message,source_id,recommended_action,run_id,exported_at
Joe Radler,311th Family Court,Challenger,court_metric_interpretation,Medium,"OCA metrics are court-level context for the seat, not individual candidate performance.",SRC002,Preserve court-level caveat anywhere OCA metrics appear.,run_20260805T183900Z,2026-08-05T18:39:00.612729+00:00
Joe Radler,311th Family Court,Challenger,campaign_finance_scope,Medium,"TEC contribution and expenditure values are latest report-period totals, not lifetime or full-cycle totals.",SRC005,Display report-period caveat near campaign finance values.,run_20260805T183900Z,2026-08-05T18:39:00.612729+00:00
Joe Radler,311th Family Court,Challenger,scjc_scope,Medium,SCJC result is source-scoped. No matching public sanction found in checked pages does not mean no sanctions ever.,SRC006,Use source-scoped wording for sanctions checks.,run_20260805T183900Z,2026-08-05T18:39:00.612729+00:00
Joe Radler,311th Family Court,Challenger,source_link_specificity,Low,Campaign finance URL is a source description/search page rather than a direct report URL.,SRC005,Add direct TEC filer/report URL when available.,run_20260805T183900Z,2026-08-05T18:39:00.612729+00:00
Joe Radler,311th Family Court,Challenger,challenger_interpretation,High,"Candidate is a challenger, so current court metrics should not be framed as the candidate's personal record.",SRC002,Use wording: court-level context for the seat this candidate is running for.,run_20260805T183900Z,2026-08-05T18:39:00.612729+00:00
Paul Sullivan,113th Civil Court,Challenger,court_metric_interpretation,Medium,"OCA metrics are court-level context for the seat, not individual candidate performance.",SRC002,Preserve court-level caveat anywhere OCA metrics appear.,run_20260805T183900Z,2026-08-05T18:39:00.612729+00:00
Paul Sullivan,113th Civil Court,Challenger,campaign_finance_scope,Medium,"TEC contribution and expenditure values are latest report-period totals, not lifetime or full-cycle totals.",SRC005,Display report-period caveat near campaign finance values.,run_20260805T183900Z,2026-08-05T18:39:00.612729+00:00
Paul Sullivan,113th Civil Court,Challenger,scjc_scope,Medium,SCJC result is source-scoped. No matching public sanction found in checked pages does not mean no sanctions ever.,SRC006,Use source-scoped wording for sanctions checks.,run_20260805T183900Z,2026-08-05T18:39:00.612729+00:00
Paul Sullivan,113th Civil Court,Challenger,high_long_pending_context,Medium,Long-pending court context is relatively high (22.2%). This requires careful court-level interpretation.,SRC002,"If shown in dashboard, explain threshold and court-level scope.",run_20260805T183900Z,2026-08-05T18:39:00.612729+00:00
Paul Sullivan,113th Civil Court,Challenger,source_link_specificity,Low,Campaign finance URL is a source description/search page rather than a direct report URL.,SRC005,Add direct TEC filer/report URL when available.,run_20260805T183900Z,2026-08-05T18:39:00.612729+00:00
Paul Sullivan,113th Civil Court,Challenger,challenger_interpretation,High,"Candidate is a challenger, so current court metrics should not be framed as the candidate's personal record.",SRC002,Use wording: court-level context for the seat this candidate is running for.,run_20260805T183900Z,2026-08-05T18:39:00.612729+00:00
Tami Pierce,180th Criminal Court,Incumbent,court_metric_interpretation,Medium,"OCA metrics are court-level context for the seat, not individual candidate performance.",SRC002,Preserve court-level caveat anywhere OCA metrics appear.,run_20260805T183900Z,2026-08-05T18:39:00.612729+00:00
Tami Pierce,180th Criminal Court,Incumbent,incumbent_interpretation,Medium,"Candidate is an incumbent, but court-level metrics may still reflect staffing, filings, case mix, and broader court-system conditions.",SRC002,Avoid framing OCA metrics as sole proof of individual responsibility.,run_20260805T183900Z,2026-08-05T18:39:00.612729+00:00
Tami Pierce,180th Criminal Court,Incumbent,campaign_finance_scope,Medium,"TEC contribution and expenditure values are latest report-period totals, not lifetime or full-cycle totals.",SRC005,Display report-period caveat near campaign finance values.,run_20260805T183900Z,2026-08-05T18:39:00.612729+00:00
Tami Pierce,180th Criminal Court,Incumbent,scjc_scope,Medium,SCJC result is source-scoped. No matching public sanction found in checked pages does not mean no sanctions ever.,SRC006,Use source-scoped wording for sanctions checks.,run_20260805T183900Z,2026-08-05T18:39:00.612729+00:00
Tami Pierce,180th Criminal Court,Incumbent,high_long_pending_context,Medium,Long-pending court context is relatively high (15.2%). This requires careful court-level interpretation.,SRC002,"If shown in dashboard, explain threshold and court-level scope.",run_20260805T183900Z,2026-08-05T18:39:00.612729+00:00
Tami Pierce,180th Criminal Court,Incumbent,source_link_specificity,Low,Campaign finance URL is a source description/search page rather than a direct report URL.,SRC005,Add direct TEC filer/report URL when available.,run_20260805T183900Z,2026-08-05T18:39:00.612729+00:00
