candidate_name,summary_type,generated_text,input_facts_json,caveats_used,prompt_version,model_name,generated_at,run_id,review_status
Joe Radler,candidate_overview,"Joe Radler is listed in this prototype as a Republican candidate for the 311th Family Court, running as a(n) challenger. This profile draws on public State Bar records, Texas Ethics Commission campaign finance filings, OCA court-level case data, and an SCJC public sanctions check. 10 of 10 tracked prototype fields were available for this candidate (High data completeness), which describes how much of the record this prototype found, not a rating of the candidate.","{""court_name"": ""311th Family Court"", ""court_type"": ""Family District Court"", ""fields_complete"": 10, ""fields_possible"": 10, ""incumbent_status"": ""Challenger"", ""overall_confidence"": ""High"", ""party_code"": ""R"", ""readiness_label"": ""High""}",Campaign finance URL is a source description/search page rather than a direct report URL.,candidate_summary_v1,mock-template-v1,2026-08-24T18:25:46.002572+00:00,run_20260824T182545Z,auto_generated
Joe Radler,professional_background,"According to the State Bar of Texas public profile referenced in this prototype, Joe Radler's bar status is listed as ""Eligible to Practice in Texas"", with a license date on record of 11/01/2013. The public discipline flag captured for this profile is ""No"", reflecting only what was found on that public page at the time of the check.","{""bar_status"": ""Eligible to Practice in Texas"", ""licensed_since"": ""11/01/2013"", ""public_discipline_flag"": ""No""}",,candidate_summary_v1,mock-template-v1,2026-08-24T18:25:46.002572+00:00,run_20260824T182545Z,auto_generated
Joe Radler,finance_explanation,"Texas Ethics Commission (TEC) filer records referenced in this prototype (filer ID 00090319) show total contributions of $2,500.00 and total expenditures of $0.00. TEC contribution and expenditure values are latest available report-period totals, not lifetime or full-cycle totals. Campaign finance URL is a source description/search page rather than a direct report URL.","{""filer_id"": ""00090319"", ""total_contributions"": 2500.0, ""total_expenditures"": 0.0}","TEC contribution and expenditure values are latest available report-period totals, not lifetime or full-cycle totals. || Campaign finance URL is a source description/search page rather than a direct report URL.",finance_explanation_v1,mock-template-v1,2026-08-24T18:25:46.002572+00:00,run_20260824T182545Z,auto_generated
Joe Radler,court_context_explanation,"OCA court-level data referenced in this prototype shows 142 of 2,576 active pending family cases at the 311th Family Court classified as long-pending, about 5.5%. OCA metrics are court-level context for the seat, not individual candidate performance. Candidate is a challenger, so current court metrics should not be framed as the candidate's personal record.","{""active_pending_total"": 2576, ""court_name"": ""311th Family Court"", ""incumbent_status"": ""Challenger"", ""long_pending_count"": 142, ""long_pending_pct"": 0.0551242236, ""long_pending_threshold"": ""over_18_months"", ""oca_case_category"": ""family""}","OCA metrics are court-level context for the seat, not individual candidate performance. || Candidate is a challenger, so current court metrics should not be framed as the candidate's personal record.",court_context_v1,mock-template-v1,2026-08-24T18:25:46.002572+00:00,run_20260824T182545Z,auto_generated
Joe Radler,public_record_notes_explanation,"The State Commission on Judicial Conduct (SCJC) public sanctions check referenced in this prototype returned: ""No matching public sanction found in checked SCJC public sanctions pages"". SCJC result is source-scoped: it reflects only the public sanctions pages checked for this prototype, not a comprehensive disciplinary record. Campaign finance URL is a source description/search page rather than a direct report URL.","{""public_discipline_flag"": ""No"", ""scjc_result"": ""No matching public sanction found in checked SCJC public sanctions pages""}","SCJC result is source-scoped: it reflects only the public sanctions pages checked for this prototype, not a comprehensive disciplinary record. || Campaign finance URL is a source description/search page rather than a direct report URL.",public_record_notes_v1,mock-template-v1,2026-08-24T18:25:46.002572+00:00,run_20260824T182545Z,auto_generated
Paul Sullivan,candidate_overview,"Paul Sullivan is listed in this prototype as a Republican candidate for the 113th Civil Court, running as a(n) challenger. This profile draws on public State Bar records, Texas Ethics Commission campaign finance filings, OCA court-level case data, and an SCJC public sanctions check. 10 of 10 tracked prototype fields were available for this candidate (High data completeness), which describes how much of the record this prototype found, not a rating of the candidate.","{""court_name"": ""113th Civil Court"", ""court_type"": ""District Civil Court"", ""fields_complete"": 10, ""fields_possible"": 10, ""incumbent_status"": ""Challenger"", ""overall_confidence"": ""High"", ""party_code"": ""R"", ""readiness_label"": ""High""}",Campaign finance URL is a source description/search page rather than a direct report URL.,candidate_summary_v1,mock-template-v1,2026-08-24T18:25:46.002572+00:00,run_20260824T182545Z,auto_generated
Paul Sullivan,professional_background,"According to the State Bar of Texas public profile referenced in this prototype, Paul Sullivan's bar status is listed as ""Eligible to Practice in Texas"", with a license date on record of 11/04/2016. The public discipline flag captured for this profile is ""No"", reflecting only what was found on that public page at the time of the check.","{""bar_status"": ""Eligible to Practice in Texas"", ""licensed_since"": ""11/04/2016"", ""public_discipline_flag"": ""No""}",,candidate_summary_v1,mock-template-v1,2026-08-24T18:25:46.002572+00:00,run_20260824T182545Z,auto_generated
Paul Sullivan,finance_explanation,"Texas Ethics Commission (TEC) filer records referenced in this prototype (filer ID 00089123) show total contributions of $2,482.43 and total expenditures of $1,213.42. TEC contribution and expenditure values are latest available report-period totals, not lifetime or full-cycle totals. Campaign finance URL is a source description/search page rather than a direct report URL.","{""filer_id"": ""00089123"", ""total_contributions"": 2482.43, ""total_expenditures"": 1213.42}","TEC contribution and expenditure values are latest available report-period totals, not lifetime or full-cycle totals. || Campaign finance URL is a source description/search page rather than a direct report URL.",finance_explanation_v1,mock-template-v1,2026-08-24T18:25:46.002572+00:00,run_20260824T182545Z,auto_generated
Paul Sullivan,court_context_explanation,"OCA court-level data referenced in this prototype shows 668 of 3,003 active pending civil cases at the 113th Civil Court classified as long-pending, about 22.2%. OCA metrics are court-level context for the seat, not individual candidate performance. Candidate is a challenger, so current court metrics should not be framed as the candidate's personal record. Long-pending court context is relatively high (22.2%). This requires careful court-level interpretation.","{""active_pending_total"": 3003, ""court_name"": ""113th Civil Court"", ""incumbent_status"": ""Challenger"", ""long_pending_count"": 668, ""long_pending_pct"": 0.2224442224, ""long_pending_threshold"": ""over_18_months"", ""oca_case_category"": ""civil""}","OCA metrics are court-level context for the seat, not individual candidate performance. || Candidate is a challenger, so current court metrics should not be framed as the candidate's personal record. || Long-pending court context is relatively high (22.2%). This requires careful court-level interpretation.",court_context_v1,mock-template-v1,2026-08-24T18:25:46.002572+00:00,run_20260824T182545Z,auto_generated
Paul Sullivan,public_record_notes_explanation,"The State Commission on Judicial Conduct (SCJC) public sanctions check referenced in this prototype returned: ""No matching public sanction found in checked SCJC public sanctions pages"". SCJC result is source-scoped: it reflects only the public sanctions pages checked for this prototype, not a comprehensive disciplinary record. Campaign finance URL is a source description/search page rather than a direct report URL.","{""public_discipline_flag"": ""No"", ""scjc_result"": ""No matching public sanction found in checked SCJC public sanctions pages""}","SCJC result is source-scoped: it reflects only the public sanctions pages checked for this prototype, not a comprehensive disciplinary record. || Campaign finance URL is a source description/search page rather than a direct report URL.",public_record_notes_v1,mock-template-v1,2026-08-24T18:25:46.002572+00:00,run_20260824T182545Z,auto_generated
